"lang","doc_key","from_id","to_id","text","author_name","year_birth","year_death","from_placename","from_latitude","from_longitude","from_type","from_type_detail","to_placename","to_latitude","to_longitude","to_type","to_type_detail"
"cs","0410_0001-0003-0000-0137-0000","Q1024","Q104520","Od Athosa k Trigle , k Pomořanům","Kollár, Jan",1793,1852,"Triglav",46.378333,13.836667,"mountain","mountain","Pomerania",54.29443,18.15312,"region","historic region"
"cs","0410_0001-0003-0000-0137-0000","Q1015486","Q1246","Ode Psího k poli Kosovu","Kollár, Jan",1793,1852,"Psie Pole",51.14559,17.07833,"city part","city part","Kosovo",42.55,20.833333333333,"country","country"
"cs","0410_0001-0003-0000-0137-0000","Q15288","Q3927","Od Ladogy dole k Astrachanům","Kollár, Jan",1793,1852,"Lake Ladoga",60.8427777777778,31.4597222222222,"lake","lake","Astrakhan",46.35,48.035,"city","city"
"cs","0410_0001-0003-0000-0137-0000","Q102762","Q649","Od Blatona k Baltu , Ozovu , Ode Prahy k Mozkvě","Kollár, Jan",1793,1852,"Azov",47.1,39.416666666667,"city","city","Moscow",55.755833333333,37.617777777778,"city","city"
"cs","0410_0001-0003-0000-0137-0000","Q1085","Q649","Ode Prahy k Mozkvě","Kollár, Jan",1793,1852,"Prague",50.0875,14.4213888888889,"city","city","Moscow",55.755833333333,37.617777777778,"city","city"
"cs","0410_0001-0003-0000-0137-0000","Q993","Q17","Od Kamčatky až tam ku Japanům","Kollár, Jan",1793,1852,"Kamchatka Peninsula",57,160,"region","land","Japan",35,136,"country","country"
"cs","0410_0001-0004-0000-0016-0000","Q3493793","Q2628720","Ode Lisce k Žárům","Kollár, Jan",1793,1852,"Lysec",48.996361111111,19.069169444444,"mountain","mountain","Žiar",48.8666666666667,18.7,"mountain","mountain"
"cs","0410_0001-0004-0000-0017-0000","Q3491363","Q1653","od Beskydů přímá Cesta ku Dunaji","Kollár, Jan",1793,1852,"Beskydy Protected Landscape Area",49.5811,18.5874,"region","land","Danube",48.0951111111111,8.15488888888889,"river","river"
"cs","0410_0001-0008-0000-0001-0000","Q3150","Q1867060","Z Jeny k Lobdě","Kollár, Jan",1793,1852,"Jena",50.927222222222,11.586388888889,"city","city","Lobeda",50.893152,11.60588,"city part","city part"
"cs","0410_0001-0008-0000-0007-0000","Q3150","Q1136224","z Jeny do Gospody","Kollár, Jan",1793,1852,"Jena",50.927222222222,11.586388888889,"city","city","Cospeda",50.948888888889,11.559444444444,"village","village"
"cs","0415_0001-0001-0000-0001-0000","Q214644","Q43266","Od hor Krkonošských do Moravy","Koubek, Jan Pravoslav",1805,1854,"Giant Mountains",50.75,15.583333,"mountain","mountain","Moravia",49.5,17,"region","land"
"cs","0415_0001-0001-0002-0009-0000","Q1644","Q48","Od Labe až k hradbám Asie ledovatým","Koubek, Jan Pravoslav",1805,1854,"Elbe",50.8875,14.2330555555556,"river","river","Asia",43.6811111111111,87.3311111111111,"continent","continent"
"cs","0415_0001-0001-0002-0009-0000","Q645","Q13924","Od Névy pramenů až tam do pěn Adrie šumných","Koubek, Jan Pravoslav",1805,1854,"Neva",59.9447,30.3094,"river","river","Adriatic Sea",42.775833,15.426111,"sea","sea"
"cs","0416_0-0000-0000-0002-0001","Q4018","Q29","z Navarry dále do Špaňhel","Koubek, Jan Pravoslav",1805,1854,"Navarre",42.816666666667,-1.65,"country","country","Spain",40.2,-3.5,"country","country"
"cs","0416_0-0000-0000-0002-0001","Q15682","Q35484","Od Cadizu zhůru do Mediny","Koubek, Jan Pravoslav",1805,1854,"Cádiz",36.535,-6.2975,"city","city","Medina",24.47,39.61,"city","city"
"cs","0416_0-0000-0000-0003-0000","Q7596262","Q36","ze Stadické dědiny Do Lechické sahá","Koubek, Jan Pravoslav",1805,1854,"Stadice",50.616666666667,13.966666666667,"village","village","Poland",52,19,"country","country"
"cs","0416_0-0000-0000-0003-0000","Q7596262","Q166717","ze Stadické dědiny Do Lechické sahá krajiny K nivám šťastným nízké Krušvice","Koubek, Jan Pravoslav",1805,1854,"Stadice",50.616666666667,13.966666666667,"village","village","Kruszwica",52.677222222222,18.329166666667,"city","city"
"cs","0416_0-0000-0000-0003-0000","Q36","Q166717","ze Stadické dědiny Do Lechické sahá krajiny K nivám šťastným nízké Krušvice","Koubek, Jan Pravoslav",1805,1854,"Poland",52,19,"country","country","Kruszwica",52.677222222222,18.329166666667,"city","city"
"cs","0416_0-0000-0000-0003-0000","Q645","Q1653","od Nevy až ke Dunaji","Koubek, Jan Pravoslav",1805,1854,"Neva",59.9447,30.3094,"river","river","Danube",48.0951111111111,8.15488888888889,"river","river"
"cs","0416_0-0000-0000-0003-0000","Q545","Q13924","z plodné matky zrozené Od Baltyku dolu do Adrie","Koubek, Jan Pravoslav",1805,1854,"Baltic Sea",58,20,"sea","sea","Adriatic Sea",42.775833,15.426111,"sea","sea"
"cs","0416_0-0000-0000-0003-0000","Q545","Q13924","Od Baltyku dolu do Adrie","Koubek, Jan Pravoslav",1805,1854,"Baltic Sea",58,20,"sea","sea","Adriatic Sea",42.775833,15.426111,"sea","sea"
